time,open,high,low,close,volume
2025.12.22 03:00,88440.070000,88827.510000,88240.150000,88734.920000,3499
2025.12.22 02:00,88596.080000,88636.630000,87859.490000,88440.160000,5628
2025.12.22 01:00,88580.790000,89262.540000,88478.240000,88591.720000,4670
2025.12.22 00:00,88638.530000,89596.570000,88573.080000,88589.700000,7867
2025.12.21 23:00,88451.050000,88793.580000,88333.400000,88630.960000,3215
2025.12.21 22:00,88135.290000,88473.260000,88083.910000,88449.730000,1942
2025.12.21 21:00,88215.540000,88352.130000,88060.350000,88134.910000,1721
2025.12.21 20:00,88455.360000,88482.470000,88193.630000,88215.490000,1489
2025.12.21 19:00,88414.400000,88597.590000,88173.770000,88455.450000,2046
2025.12.21 18:00,88285.980000,88434.830000,87908.760000,88411.120000,2339
2025.12.21 17:00,88314.750000,88463.890000,88236.640000,88289.020000,2023
2025.12.21 16:00,88036.380000,88344.920000,87948.340000,88313.790000,2368
2025.12.21 15:00,88031.770000,88241.150000,87770.010000,88042.200000,2759
2025.12.21 14:00,87638.710000,88131.820000,87584.480000,88023.110000,4024
2025.12.21 13:00,88601.840000,88668.390000,87547.340000,87635.860000,7327
2025.12.21 12:00,88566.750000,88892.580000,88419.100000,88584.570000,2728
2025.12.21 11:00,88635.960000,88718.350000,88537.520000,88567.230000,1559
2025.12.21 10:00,88869.010000,88936.250000,88536.760000,88628.860000,2752
2025.12.21 09:00,88493.990000,89046.270000,88456.600000,88866.540000,3571
2025.12.21 08:00,88140.440000,88723.330000,88098.690000,88494.090000,2549
2025.12.21 07:00,88064.000000,88146.200000,88014.310000,88140.540000,1156
2025.12.21 06:00,88099.490000,88182.590000,88036.790000,88063.280000,1281
2025.12.21 05:00,88047.440000,88127.610000,88019.590000,88101.400000,1254
2025.12.21 04:00,88042.430000,88117.240000,88005.550000,88047.420000,1138
2025.12.21 03:00,87924.450000,88130.810000,87907.410000,88040.830000,1421
2025.12.21 02:00,87996.140000,88116.720000,87823.760000,87924.540000,2039
2025.12.21 01:00,88340.700000,88340.700000,87961.730000,87988.170000,1565
2025.12.21 00:00,88316.330000,88398.240000,88259.080000,88341.950000,1309
2025.12.20 23:00,88243.870000,88380.690000,88207.130000,88316.140000,1467
2025.12.20 22:00,88185.000000,88304.080000,88111.320000,88242.970000,1525
2025.12.20 21:00,88233.020000,88424.050000,88137.070000,88185.120000,1420
2025.12.20 20:00,88184.530000,88291.230000,88168.900000,88233.110000,1074
2025.12.20 19:00,88272.940000,88291.740000,88158.470000,88187.390000,1254
2025.12.20 18:00,88152.290000,88384.530000,88103.430000,88271.210000,1076
2025.12.20 17:00,88109.330000,88212.590000,88050.190000,88153.770000,1293
2025.12.20 16:00,88133.920000,88198.120000,88081.850000,88109.090000,1283
2025.12.20 15:00,88209.530000,88227.590000,87956.770000,88132.740000,1578
2025.12.20 14:00,88215.410000,88241.020000,87959.330000,88210.330000,1942
2025.12.20 13:00,88195.500000,88298.060000,87753.010000,88215.990000,2686
2025.12.20 12:00,88233.730000,88310.270000,88138.190000,88194.940000,1254
2025.12.20 11:00,88118.900000,88266.360000,88049.080000,88234.440000,1562
2025.12.20 10:00,88187.000000,88240.320000,88079.330000,88119.000000,1554
2025.12.20 09:00,88210.600000,88302.650000,88176.550000,88187.090000,1432
2025.12.20 08:00,88228.570000,88393.390000,88212.130000,88212.890000,1659
2025.12.20 07:00,88264.990000,88299.070000,88142.170000,88228.340000,1382
2025.12.20 06:00,88253.670000,88401.930000,88234.610000,88266.030000,1241
2025.12.20 05:00,88256.910000,88551.030000,88219.200000,88253.770000,1769
2025.12.20 04:00,88167.370000,88294.640000,88072.060000,88248.900000,1430
2025.12.20 03:00,88158.310000,88296.480000,88120.310000,88165.980000,1342
2025.12.20 02:00,88036.290000,88274.800000,87940.830000,88158.410000,1537
2025.12.20 01:00,87963.890000,88127.250000,87956.870000,88033.290000,1354
2025.12.20 00:00,88092.020000,88138.870000,87909.760000,87964.560000,2042
2025.12.19 23:00,88279.660000,88307.160000,88076.780000,88091.580000,1690
2025.12.19 22:00,87790.690000,88376.610000,87786.970000,88289.350000,2795
2025.12.19 21:00,88040.340000,88043.400000,87729.030000,87789.600000,2375
2025.12.19 20:00,87771.210000,88363.500000,87537.250000,88037.920000,5239
2025.12.19 19:00,87102.640000,88069.900000,87071.870000,87781.530000,4814
2025.12.19 18:00,86887.010000,87409.440000,86773.980000,87102.770000,4787
2025.12.19 17:00,87929.330000,88295.820000,86810.960000,86886.590000,8439
2025.12.19 16:00,87903.640000,88843.730000,87810.480000,87929.470000,7462
2025.12.19 15:00,88112.170000,89358.980000,87635.290000,87906.200000,13565
2025.12.19 14:00,87948.750000,88524.270000,87449.170000,88116.370000,10300
2025.12.19 13:00,87820.780000,88166.680000,87773.500000,87935.260000,3205
2025.12.19 12:00,88156.100000,88223.230000,87786.210000,87820.940000,3889
2025.12.19 11:00,88219.400000,88329.010000,88080.850000,88155.350000,2824
2025.12.19 10:00,88042.170000,88313.090000,87841.210000,88223.310000,3000
2025.12.19 09:00,88036.130000,88115.950000,87841.620000,88044.240000,3022
2025.12.19 08:00,87894.050000,88160.450000,87667.720000,88042.650000,4143
2025.12.19 07:00,87428.110000,88336.770000,87410.940000,87893.920000,6445
2025.12.19 06:00,87075.530000,87432.680000,86846.620000,87431.670000,2945
2025.12.19 05:00,87050.640000,87181.410000,86611.270000,87077.670000,3399
2025.12.19 04:00,86838.480000,87322.520000,86771.950000,87046.090000,4602
2025.12.19 03:00,85587.480000,87522.140000,85546.400000,86842.620000,11916
2025.12.19 02:00,85264.520000,85898.960000,85064.860000,85589.890000,3937
2025.12.19 01:00,85547.670000,85547.670000,85048.980000,85265.920000,3103
2025.12.19 00:00,85442.620000,85551.100000,85234.690000,85547.670000,2642
